asset_id,site_id,asset_name,asset_category,criticality
A001,S001,RegasTainer Module 01,REGASIFICATION,HIGH
A002,S001,BOG Compressor 01,BOG_MANAGEMENT,HIGH
A003,S001,Cargo Handling Arm 01,CARGO_HANDLING,MEDIUM
A004,S002,FRU Regas Module 01,REGASIFICATION,HIGH
A005,S002,Cold Tech Skid 01,COLD_TECH,MEDIUM
A006,S002,Pressure Management Unit 01,PRESSURE_MANAGEMENT,HIGH
A007,S003,Onshore Vaporizer 01,REGASIFICATION,HIGH
A008,S003,Re-liquefaction Box 01,RELIQUEFACTION,MEDIUM
A009,S003,Cargo Handling Arm 02,CARGO_HANDLING,MEDIUM
A010,S004,Jetty Regas Module 01,REGASIFICATION,HIGH
A011,S004,BOG Compressor 02,BOG_MANAGEMENT,HIGH
A012,S004,Truck Loading Bay 01,CARGO_HANDLING,MEDIUM
