operation_id,operation_ts,site_id,asset_id,shift,sendout_mmscfd,throughput_mmbtu,boiloff_rate_pct,uptime_pct,downtime_hours,maintenance_type,maintenance_cost_usd,incident_count,status
OP00201,2026-02-10 08:00:00,S001,A003,DAY,418.29,570821.8,0.666,95.62,0.06,NONE,0.0,0,NORMAL
OP00202,2026-02-12 12:00:00,S002,A006,DAY,101.94,139493.07,0.396,98.55,0.08,NONE,0.0,0,NORMAL
OP00203,2026-02-14 16:00:00,S003,A009,DAY,584.74,767304.34,0.418,96.36,0.15,NONE,0.0,0,NORMAL
OP00204,2026-02-16 20:00:00,S004,A012,NIGHT,231.9,314109.37,0.666,97.65,5.65,CORRECTIVE,56207.62,0,WATCH
OP00205,2026-02-18 00:00:00,S001,A001,NIGHT,432.45,564034.99,0.58,98.4,0.08,NONE,0.0,0,NORMAL
OP00206,2026-02-20 04:00:00,S002,A004,NIGHT,107.19,147525.89,0.467,97.58,0.01,NONE,0.0,0,NORMAL
OP00207,2026-02-22 08:00:00,S003,A007,DAY,560.38,776670.17,0.274,96.4,0.21,NONE,0.0,0,NORMAL
OP00208,2026-02-24 12:00:00,S004,A010,DAY,260.74,350793.54,0.281,98.8,0.08,NONE,0.0,0,NORMAL
OP00209,2026-02-26 16:00:00,S001,A002,DAY,381.52,513150.61,0.564,98.47,0.08,NONE,0.0,0,NORMAL
OP00210,2026-02-28 20:00:00,S002,A005,NIGHT,86.79,115173.61,0.193,98.05,0.52,INSPECTION,4065.33,0,NORMAL
OP00211,2026-03-02 00:00:00,S003,A008,NIGHT,547.03,715420.28,0.625,96.56,0.82,PREVENTIVE,6954.24,0,NORMAL
OP00212,2026-03-04 04:00:00,S004,A011,NIGHT,213.82,275791.91,0.369,97.62,0.17,NONE,0.0,0,NORMAL
OP00213,2026-03-06 08:00:00,S001,A003,DAY,452.08,588948.45,0.667,97.55,0.08,NONE,0.0,0,NORMAL
OP00214,2026-03-08 12:00:00,S002,A006,DAY,99.2,131962.4,0.508,97.16,0.1,NONE,0.0,0,NORMAL
OP00215,2026-03-10 16:00:00,S003,A009,DAY,652.5,869008.98,0.538,98.32,0.16,NONE,0.0,0,NORMAL
OP00216,2026-03-12 20:00:00,S004,A012,NIGHT,282.06,387097.55,0.6,98.77,0.15,NONE,0.0,0,NORMAL
OP00217,2026-03-14 00:00:00,S001,A001,NIGHT,456.61,614100.97,0.143,97.64,0.17,NONE,0.0,0,NORMAL
OP00218,2026-03-16 04:00:00,S002,A004,NIGHT,87.17,121814.87,0.352,98.23,1.2,PREVENTIVE,6037.05,0,NORMAL
OP00219,2026-03-18 08:00:00,S003,A007,DAY,625.93,868611.37,0.315,96.64,0.15,NONE,0.0,0,NORMAL
OP00220,2026-03-20 12:00:00,S004,A010,DAY,245.71,318586.48,0.287,97.44,0.09,NONE,0.0,0,NORMAL
OP00221,2026-03-22 16:00:00,S001,A002,DAY,370.58,487451.75,0.228,97.88,0.68,INSPECTION,1961.67,0,NORMAL
OP00222,2026-03-24 20:00:00,S002,A005,NIGHT,92.27,120204.31,0.654,96.29,0.07,NONE,0.0,0,NORMAL
OP00223,2026-03-26 00:00:00,S003,A008,NIGHT,520.25,702205.33,0.133,95.93,0.15,NONE,0.0,0,NORMAL
OP00224,2026-03-28 04:00:00,S004,A011,NIGHT,231.17,323133.97,0.185,95.7,0.11,NONE,0.0,0,NORMAL
OP00225,2026-03-30 08:00:00,S001,A003,DAY,453.91,597878.05,0.297,97.08,1.55,PREVENTIVE,4964.34,0,NORMAL
OP00226,2026-04-01 12:00:00,S002,A006,DAY,90.23,124534.38,0.535,96.56,0.02,NONE,0.0,0,NORMAL
OP00227,2026-04-03 16:00:00,S003,A009,DAY,665.16,856266.25,0.607,97.32,0.12,NONE,0.0,0,NORMAL
OP00228,2026-04-05 20:00:00,S004,A012,NIGHT,240.88,330827.52,0.186,98.68,0.17,NONE,0.0,0,NORMAL
OP00229,2026-04-07 00:00:00,S001,A001,NIGHT,394.62,515397.25,0.321,98.69,0.1,NONE,0.0,0,NORMAL
OP00230,2026-04-09 04:00:00,S002,A004,NIGHT,85.6,109010.35,0.625,96.15,0.05,NONE,0.0,0,NORMAL
OP00231,2026-04-11 08:00:00,S003,A007,DAY,489.99,653789.04,0.543,97.86,0.2,NONE,0.0,0,NORMAL
OP00232,2026-04-13 12:00:00,S004,A010,DAY,230.61,291071.37,0.347,98.75,0.23,INSPECTION,1815.36,0,NORMAL
OP00233,2026-04-15 16:00:00,S001,A002,DAY,375.93,505465.55,0.674,96.27,6.96,CORRECTIVE,40639.87,0,WATCH
OP00234,2026-04-17 20:00:00,S002,A005,NIGHT,88.59,112881.3,0.3,96.8,0.03,NONE,0.0,0,NORMAL
OP00235,2026-04-19 00:00:00,S003,A008,NIGHT,622.96,801485.33,0.278,96.96,0.23,NONE,0.0,0,NORMAL
OP00236,2026-04-21 04:00:00,S004,A011,NIGHT,245.74,318269.94,0.175,97.31,0.13,NONE,0.0,1,ALARM
OP00237,2026-04-23 08:00:00,S001,A003,DAY,380.73,497984.05,0.27,98.14,0.15,NONE,0.0,0,NORMAL
OP00238,2026-04-25 12:00:00,S002,A006,DAY,85.71,118213.4,0.493,98.71,0.25,NONE,0.0,0,NORMAL
OP00239,2026-04-27 16:00:00,S003,A009,DAY,563.0,733934.44,0.293,98.64,1.5,PREVENTIVE,4631.68,0,NORMAL
OP00240,2026-04-29 20:00:00,S004,A012,NIGHT,211.55,266795.82,0.689,97.32,0.05,NONE,0.0,0,NORMAL
OP00241,2026-05-01 00:00:00,S001,A001,NIGHT,463.97,626852.2,0.255,97.14,0.01,NONE,0.0,0,NORMAL
OP00242,2026-05-03 04:00:00,S002,A004,NIGHT,85.73,114475.44,0.581,98.59,0.09,NONE,0.0,0,NORMAL
OP00243,2026-05-05 08:00:00,S003,A007,DAY,548.12,691088.67,0.133,97.26,0.75,INSPECTION,2087.62,0,NORMAL
OP00244,2026-05-07 12:00:00,S004,A010,DAY,275.73,360377.19,0.43,96.99,0.14,NONE,0.0,0,NORMAL
OP00245,2026-05-09 16:00:00,S001,A002,DAY,415.13,566881.95,0.349,96.59,0.11,NONE,0.0,0,NORMAL
OP00246,2026-05-11 20:00:00,S002,A005,NIGHT,86.18,116059.03,0.35,98.24,2.04,PREVENTIVE,7118.37,0,WATCH
OP00247,2026-05-13 00:00:00,S003,A008,NIGHT,541.87,687010.93,0.612,95.95,0.15,NONE,0.0,0,NORMAL
OP00248,2026-05-15 04:00:00,S004,A011,NIGHT,278.26,368291.18,0.227,97.53,0.19,NONE,0.0,0,NORMAL
OP00249,2026-05-17 08:00:00,S001,A003,DAY,374.75,512545.34,0.5,96.91,0.02,NONE,0.0,0,NORMAL
OP00250,2026-05-19 12:00:00,S002,A006,DAY,87.17,113576.03,0.689,97.33,0.14,NONE,0.0,0,NORMAL
OP00251,2026-05-21 16:00:00,S003,A009,DAY,534.89,672188.89,0.366,96.79,0.2,NONE,0.0,0,NORMAL
OP00252,2026-05-23 20:00:00,S004,A012,NIGHT,205.69,267026.44,0.131,96.85,0.12,NONE,0.0,0,NORMAL
OP00253,2026-05-25 00:00:00,S001,A001,NIGHT,420.67,567618.01,0.513,96.94,1.82,PREVENTIVE,4330.89,0,NORMAL
OP00254,2026-05-27 04:00:00,S002,A004,NIGHT,94.18,131535.39,0.535,95.97,0.49,INSPECTION,3464.37,0,NORMAL
OP00255,2026-05-29 08:00:00,S003,A007,DAY,654.14,897067.79,0.519,95.98,0.07,NONE,0.0,0,NORMAL
OP00256,2026-05-31 12:00:00,S004,A010,DAY,244.81,338412.8,0.409,95.93,0.07,NONE,0.0,0,NORMAL
OP00257,2026-06-02 16:00:00,S001,A002,DAY,384.3,525069.35,0.654,97.53,0.05,NONE,0.0,0,NORMAL
OP00258,2026-06-04 20:00:00,S002,A005,NIGHT,85.44,117880.85,0.341,95.67,0.03,NONE,0.0,0,NORMAL
OP00259,2026-06-06 00:00:00,S003,A008,NIGHT,661.74,855001.2,0.631,97.77,0.05,NONE,0.0,0,NORMAL
OP00260,2026-06-08 04:00:00,S004,A011,NIGHT,239.84,321690.61,0.28,97.23,2.01,PREVENTIVE,6197.14,0,WATCH
OP00261,2026-06-10 08:00:00,S001,A003,DAY,349.7,443258.88,0.383,96.59,0.16,NONE,0.0,0,NORMAL
OP00262,2026-06-12 12:00:00,S002,A006,DAY,108.17,149102.27,0.208,95.75,6.52,CORRECTIVE,38341.2,0,WATCH
OP00263,2026-06-14 16:00:00,S003,A009,DAY,657.95,893978.31,0.241,96.73,0.25,NONE,0.0,0,NORMAL
OP00264,2026-06-16 20:00:00,S004,A012,NIGHT,268.88,343210.62,0.21,95.9,0.17,NONE,0.0,0,NORMAL
OP00265,2026-06-18 00:00:00,S001,A001,NIGHT,393.67,548191.02,0.549,96.37,0.24,INSPECTION,4561.76,0,NORMAL
OP00266,2026-06-20 04:00:00,S002,A004,NIGHT,101.87,140256.58,0.187,95.75,0.21,NONE,0.0,0,NORMAL
OP00267,2026-06-22 08:00:00,S003,A007,DAY,503.42,663323.18,0.536,96.34,1.94,PREVENTIVE,9959.83,0,NORMAL
OP00268,2026-06-24 12:00:00,S004,A010,DAY,259.18,341532.73,0.501,98.17,0.15,NONE,0.0,0,NORMAL
OP00269,2026-06-26 16:00:00,S001,A002,DAY,381.19,522456.46,0.136,96.76,0.02,NONE,0.0,0,NORMAL
OP00270,2026-06-28 20:00:00,S002,A005,NIGHT,112.26,149862.88,0.151,97.49,0.06,NONE,0.0,0,NORMAL
OP00271,2026-01-01 00:00:00,S003,A008,NIGHT,498.67,694037.8,0.173,97.07,0.12,NONE,0.0,0,NORMAL
OP00272,2026-01-03 04:00:00,S004,A011,NIGHT,207.84,267724.06,0.515,96.81,0.06,NONE,0.0,0,NORMAL
OP00273,2026-01-05 08:00:00,S001,A003,DAY,353.0,493982.61,0.213,96.87,0.01,NONE,0.0,0,NORMAL
OP00274,2026-01-07 12:00:00,S002,A006,DAY,101.76,130810.8,0.453,98.43,1.63,PREVENTIVE,4073.73,0,NORMAL
OP00275,2026-01-09 16:00:00,S003,A009,DAY,547.94,747918.79,0.241,98.02,0.02,NONE,0.0,0,NORMAL
OP00276,2026-01-11 20:00:00,S004,A012,NIGHT,271.75,354855.02,0.656,98.64,0.96,INSPECTION,2431.57,0,NORMAL
OP00277,2026-01-13 00:00:00,S001,A001,NIGHT,469.34,648999.52,0.5,96.43,0.18,NONE,0.0,0,NORMAL
OP00278,2026-01-15 04:00:00,S002,A004,NIGHT,97.93,132286.04,0.538,98.72,0.08,NONE,0.0,0,NORMAL
OP00279,2026-01-17 08:00:00,S003,A007,DAY,638.6,881735.69,0.335,97.87,0.02,NONE,0.0,0,NORMAL
OP00280,2026-01-19 12:00:00,S004,A010,DAY,237.68,310694.07,0.186,96.76,0.01,NONE,0.0,0,NORMAL
OP00281,2026-01-21 16:00:00,S001,A002,DAY,373.68,478825.6,0.179,97.04,1.89,PREVENTIVE,5138.87,0,NORMAL
OP00282,2026-01-23 20:00:00,S002,A005,NIGHT,111.03,153728.84,0.274,98.6,0.22,NONE,0.0,0,NORMAL
OP00283,2026-01-25 00:00:00,S003,A008,NIGHT,628.46,845244.87,0.415,97.71,0.21,NONE,0.0,1,ALARM
OP00284,2026-01-27 04:00:00,S004,A011,NIGHT,256.57,340989.28,0.304,97.38,0.13,NONE,0.0,0,NORMAL
OP00285,2026-01-29 08:00:00,S001,A003,DAY,400.59,555727.3,0.642,98.65,0.06,NONE,0.0,0,NORMAL
OP00286,2026-01-31 12:00:00,S002,A006,DAY,108.87,138618.05,0.269,96.38,0.07,NONE,0.0,0,NORMAL
OP00287,2026-02-02 16:00:00,S003,A009,DAY,606.31,829084.03,0.509,97.7,0.95,INSPECTION,2228.55,0,NORMAL
OP00288,2026-02-04 20:00:00,S004,A012,NIGHT,276.16,367052.73,0.239,97.18,2.11,PREVENTIVE,13323.63,0,WATCH
OP00289,2026-02-06 00:00:00,S001,A001,NIGHT,422.29,584403.51,0.666,95.95,0.1,NONE,0.0,0,NORMAL
OP00290,2026-02-08 04:00:00,S002,A004,NIGHT,83.75,110592.18,0.269,98.22,0.07,NONE,0.0,0,NORMAL
OP00291,2026-02-10 08:00:00,S003,A007,DAY,605.77,778801.92,0.16,98.48,3.59,CORRECTIVE,41712.08,0,WATCH
OP00292,2026-02-12 12:00:00,S004,A010,DAY,211.73,283535.39,0.544,97.78,0.09,NONE,0.0,0,NORMAL
OP00293,2026-02-14 16:00:00,S001,A002,DAY,415.87,570767.77,0.345,98.26,0.16,NONE,0.0,0,NORMAL
OP00294,2026-02-16 20:00:00,S002,A005,NIGHT,92.73,119849.68,0.56,97.07,0.1,NONE,0.0,0,NORMAL
OP00295,2026-02-18 00:00:00,S003,A008,NIGHT,564.69,754931.83,0.591,95.71,1.51,PREVENTIVE,7008.23,0,NORMAL
OP00296,2026-02-20 04:00:00,S004,A011,NIGHT,224.08,312350.34,0.515,97.55,0.24,NONE,0.0,0,NORMAL
OP00297,2026-02-22 08:00:00,S001,A003,DAY,468.21,648649.43,0.296,96.82,0.04,NONE,0.0,0,NORMAL
OP00298,2026-02-24 12:00:00,S002,A006,DAY,113.15,146980.54,0.641,96.94,0.86,INSPECTION,1759.73,0,NORMAL
OP00299,2026-02-26 16:00:00,S003,A009,DAY,625.19,837192.05,0.32,97.91,0.17,NONE,0.0,0,NORMAL
OP00300,2026-02-28 20:00:00,S004,A012,NIGHT,267.97,367958.99,0.593,97.9,0.01,NONE,0.0,0,NORMAL
